date,mission,description
27-Dec-12,MONUSCO,"  Yesterday saw the Senate adopt draft province administration legislation (amended in line with the 2011 constitutional review).  In eastern DRC, two MONUSCO helicopters carrying out night flying exercises were fired upon from M23 positions in the area of KIBUMBA late yesterday; no damage or injuries were reported. Separately, the Mission has received reports that FARDC troops have been threatening ethnic Tutsi in the MUSHAKE area for their alleged involvement with the M23, forcing many to flee to Rwanda. Elsewhere in North Kivu, three locals were reportedly detained by FARDC personnel in TONGO over the weekend for denouncing human rights abuses carried out by FARDC personnel. To the north, this past Monday saw the mayor in BENI authorise the reopening of Radio Ngoma (suspended over allegations of serving as a mouthpiece for rebels). MONUSCO further informs that a UN national staff member was assaulted by Republican Guard elements in KISANGANI this past Sunday. Meanwhile, FARDC sources have shared word of large numbers of refugees gathered at the MOBAYI-MBONGO CAR-DRC border crossing point.  "
27-Dec-12,Central Africa,"   Senior government officials in the CAR have called for French and American intervention following the rebel’s ostensible advance towards the capital over the past few days; media referred to the rebel’s unconfirmed arrival in DAMARA (75 km from BANGUI) yesterday. Separate media mention the imminent arrival of Central African Multinational Force (FOMAC) troop reinforcements to BANGUI, and yesterday’s deployment of another 2,000 Chadian troops to the CAR. In view of the prevailing security situation, BINUCA began evacuating non-critical international staff and eligible family members to YAOUNDÉ (Cameroon) yesterday (30 international staff members reportedly remain in the country).  "
27-Dec-12,UNMIL,  The Mission reports that an UNMIL military camp in VOINJAMA (Lofa county) was vandalized yesterday; an investigation is underway.   
27-Dec-12,Syria,"  JSR Brahimi is cited in media today calling for the establishment of a transition government in Syria until elections can be held; he his due to discuss the proposal with the Russian foreign minister this coming weekend in MOSCOW. Reportedly, Syrian Deputy FM Mekdad arrived there yesterday to discuss the JSR’s proposal with Russian officials. Meanwhile, Syrian Observatory for Human Rights advocates disclosed yesterday that the conflict has now claimed more than 45,000 lives.   "
27-Dec-12,UNDOF,"  Firing into and within the AoS continued yesterday, including some 500 metres north of UN positions 68 and 69. Yesterday also saw an UNDOF patrol experience a restriction of movement imposed by SAAF personnel near HADAR (also within the AoS).   "
27-Dec-12,MINUSTAH,"  The Haitian executive and legislative bodies signed an agreement to establish a temporary electoral entity (Collège Transitoire du Conseil Electoral Permanent, CTCEP) this past Tuesday; its mandate will be limited to organizing partial legislative, municipal and local elections in 2013.   "
27-Dec-12,UNMISS,"  The Ethiopian PM is expected in JUBA today for talks with President Kiir on the implementation of security arrangements with Sudan. As follow up to earlier mention, local media reports cite the SPLA spokesperson claiming that five people were killed in yesterday’s fighting in the contested area of KIIR ADEM. Separately, the Mission reports that troops in AKOBO and LIKUANGOLE have not been resupplied since 21 December due to flight restrictions in Jonglei state. Separately, UNMISS continues to receive reports of SSPNS abuses against civilians, most recently over the past two days in JUBA.  "
27-Dec-12,UNAMID,"  There are reports of large SAF vehicle and troop concentrations in ED DAEIN over the past four days, possibly as a result of ongoing inter-communal fighting in SAMAHA. Mission security sources also received reports of clashes between Reizegat and Dinka tribespeople in REGABET this past Tuesday, and of SAF airstrikes on Wednesday in nearby ABU JABRA. Meanwhile, a national staff member was reportedly arrested this past Tuesday in NYALA by Sudanese intelligence (NISS) personnel; this is the second such arrest in as many days.  "
27-Dec-12,Somalia, (UNSOA)  UNPOS reported that the 2013 budget proposal was rejected by Somali lawmakers yesterday. Mission security sources reported the recent establishment of three illegal SNAF roadblocks outside AFGOYE (Lower Shabelle region); three women were reportedly raped at one such roadblock this past Tuesday.  
27-Dec-12,UNMIK,  The Mission cites Prime Minister Thaçi confirming that the implementation of integrated border management (IBM) modalities is proceeding as planned (joint management in gates 5 and 31 is anticipated to be in effect by 31 December). UNMIK also reports that shops and businesses were closed in northern MITROVICA and ZVECAN yesterday in protest of IBM implementation.  
26-Dec-12,UNMISS,"  There are unverified reports of fighting between GoS-supported elements (some in SAF fatigues) and SPLA troops in the contested area of KIIR ADEM earlier today, followed by alleged SAF air strikes. The Mission is working to verify the information. There is also unconfirmed word of a SAF incursion and fighting with SPLA troops in the area of BEBNIS (Upper Nile state) over the weekend. As anticipated, President Kiir addressed locals in WAU this past Monday following recent inter-communal unrest; he reportedly promised to bring culprits to justice, accusing some politicians in JUBA of orchestrating the violence. Far to the east, Mission sources reported that a joint SPLA/SSNPS/Wildlife patrol was ambushed by unidentified militia in PIBOR yesterday; reportedly, two militia elements were killed and two other people (one SPLA soldier and one civilian) were injured in the ensuing firefight. Yesterday also saw suspected David Yau Yau-affiliated combatants raid nearby LANGACHOT; there are no reports of casualties.  "
26-Dec-12,UNAMID,"  Mission security sources report that a UNAMID patrol came under SAF fire this past Monday in KULBUS (Western Darfur); SAF personnel claimed lack of previous clearance, but eventually allowed the peacekeepers to proceed (no casualties were reported). Separately, a GoS delegation is anticipated to arrive in ADILA today in response to recent protests over rights to an oilfield located on the border with Northern Kordofan state (Sudan). In Central Darfur, SLA-AW elements were cited by media claiming to have seized GOLO this past Monday; other media referred to subsequent SAF bombardments in the area. In Northern Darfur, IDP camp leaders have warned of systematic crop destruction by nomads in the area of EL GENEINA. Meanwhile, UNAMID continues to be subject to restrictions of movement, most recently at UM DAFOK and KASS on Monday.   "
26-Dec-12,Sudan,  Media reported that the Ethiopian prime minister arrived in KHARTOUM today to bolster peace efforts between Sudan and South Sudan.   
26-Dec-12,Syria,"  JSR Brahimi is anticipated to remain in Syria until Sunday. Media reported that he met yesterday with recognized opposition members in DAMASCUS; an opposition (NCCDC) party leader told media subsequently that the only solution to the crisis is the establishment of a transitional government. Yesterday also saw Gulf Cooperation Council (GCC) delegates gathered in Bahrain call for political transition in Syria. LCC and Muslim Brotherhood representatives have since been cited dismissing any compromise that would leave President al-Assad in power. Media reports today refer to the defection of the head of the Syrian military police. Meanwhile, officials in Turkey were cited this past Monday warning of a massive refugee influx from Syria following fresh violence in central Hama governorate. A Kuwaiti official announced that same day that his government will host an international humanitarian donor conference for Syria in late January 2013.  "
26-Dec-12,UNDOF,  The Mission reported heavy fighting between SAAF troop and anti-government armed elements in several locations near JABBATA (within the AoS) and across the B-line yesterday. Two SAAF tanks and four armoured personnel carriers briefly entered the AoS at KHAN ARNABAH to engage the armed elements. Mission military personnel at UN position 25 and UN observation post 72 (near UFANIYAH) moved to shelters as a precautionary measure; no injuries to Mission personnel or damage to its assets were reported.  
26-Dec-12,MONUSCO,"  The AU Commission is scheduled to convene in ADDIS ABABA tomorrow for a two-day consultative meeting on the establishment and deployment of the envisaged NIF and the enhancement of the Expanded Joint Verification Mechanism (EJVM), in the presence of ICGLR and UN interlocutors. In eastern DRC, MONUSCO reports several instances of aggressive M23 behaviour over the past few days; on Monday, M23 elements temporarily held up a MONUSCO patrol escorting a WFP convoy to RUMANGABO. That same day, peacekeepers deployed at a recently established observation post north-east of GOMA were told by M23 cadres that they objected to any permanent deployment of peacekeepers in the area. Elsewhere in North Kivu, M23 elements fled BITONI after MONUSCO troops fired in the air on Monday to prevent further looting in the village. In Orientale province, the Mission has received reports of massive population displacements following recent fighting between FRPI elements and troops in Southern Irumu territory. Far to the west, a senior FARDC official (Brig. General Bikweto) based in Bas-Congo was reportedly killed by unidentified armed men in KINSHASA on Monday. In Katanga province, there are reports of widespread looting by Mayi-Mayi (Gedeon), FARDC and PNC personnel in KANUKA, in the general mining area of MANONO, last Friday.   "
26-Dec-12,UNOCI,"  The IEC has announced that the submission of candidatures for the 24 February 2013 local and municipal elections will take place between 26 December and 10 January 2013. Separately, UNOCI reported that, to date, Ivorian security forces have detained 41 people suspected of involvement in last week’s attack against the Agban gendarmerie camp in ABIDJAN; ostensibly, the group includes former FDS-CI personnel. UNOCI also informs that four peacekeepers were seriously injured in a road traffic accident in LAKOTA (Sud-Bandama region) yesterday.  "
26-Dec-12,UNAMA,  The Mission reports that the airfield in JALALABAD (Nangarhar province) was temporarily closed this morning as a precautionary measure after receiving rocket fire; no casualties were reported.   
26-Dec-12,Somalia," (UNSOA)  Local media reported that three people were injured during a grenade attack that targeted the residence of a senior SNAF officer in the Wadajir district of MOGADISHU this past Monday. According to separate local media reports, at least 10 people were killed and another 20 others injured in fighting between SNAF-allied forces and al-Shabaab insurgents in BUULO GUDUUD, outside KISMAYO, over the past few days; reportedly, al-Shabaab is now in control of the locality.         "
24-Dec-12,UNMISS,"  President Kiir met with Ugandan President Museveni in JUBA this past Saturday for bilateral talks, including on border security. There is continued media interest in last Friday’s SPLA shooting of a UN helicopter in Jonglei state; local media suggest that the troops may possibly have mistaken the helicopter for an Antonov-type aircraft, ostensibly used by the SAF to air-drop supplies to rebels in the area. UNMISS has since met with senior GRSS officials to demand an investigation. A joint UN, GRSS and Russian government team is undertaking a preliminary investigation on the site of the crash, north-west of LIKUANGOLE. Separately this past Friday, a heavy fire exchange between SPLA troops and suspected Yau Yau militia elements in PIBOR prompted some 200  locals to seek temporary refuge outside UNMISS premises. Meanwhile, President Kiir is expected in WAU today for a public address following recent unrest; authorities have lifted the curfew but movement restrictions for UN staff remain in place. The Mission further informs that there are no longer any locals sheltered at its premises. Local media cited the SPLA spokesperson this past Saturday announcing the arrest of two SSNPS elements for their alleged involvement in the indiscriminate shooting of civilians during recent demonstrations in WAU. In Central Equatoria state, there are reports of violent clashes between ethnic Dinka and Nuer in YEI over the weekend, with reports of several dwellings set on fire; SSNPS and SPLA reinforcements have reportedly since arrived in the locality. Earlier today, UNMISS reported that voluntary disarmament efforts have been cancelled in the Yusuf Batil camp, in Upper Nile state, five day ahead of schedule; no weapons have been collected.  "
24-Dec-12,UNAMID,"  Local media sources cited Sudanese government officials over the weekend saying that talks with the splinter JEM-Military Council (JEM-MC) faction have been postponed to January. UNAMID continues to face restrictions of movement imposed by SAF personnel, most recently in ABU MATARIQ this past Thursday and yesterday at the KASS IDP camp. The Mission also shared belated reports of a suspected SAF attack against SHANGIL TOBAYA this past Thursday.  "
24-Dec-12,Syria,"  JSR Brahimi met with President Assad in DAMASCUS today to discuss the situation in the country. This follows a meeting with the SNC leadership last Friday in CAIRO. Senior Gulf Co-operation Council (GCC) member state officials are due to assemble in Bahrain today for talks on Syria. Meanwhile, media reports suggest a consolidation of the armed opposition’s control in Aleppo governorate. Other media referred to between 60 and 90 people killed and dozens injured in HALFAYA (Hama governorate) yesterday during an armed assault on a bakery; there are conflicting reports on the responsibility for the attack. UNICEF reports a deteriorating humanitarian situation, particularly in and around DAMASCUS.  "
24-Dec-12,UNDOF,"  Firing into and within the AoS persisted over the weekend, including from SAAF positions in the vicinity of AL QATANIYAH, JASIM, and THERESE HILL, as well as within UFANIYAH, AL BAATH, JASIM, and KHAN ARNABAH.  "
24-Dec-12,UNOCI,"  Yesterday saw the Ivorian gendarmerie foil an attempt to sabotage armoured vehicles in its Agban camp in ABIDJAN. The day before, a vehicle driven by a local UN staff member and carrying two Ivorian gendarmes received fire after the passengers inadvertently witnessed a robbery in ABIDJAN; no injuries were reported.   "
24-Dec-12,MONUSCO,"  GoDRC-M23 talks have been adjourned until 04 January 2013. In a communiqué issued on Friday, the ICGLR noted “significant progress” in terms of defining the agenda, which is set to include: a review of the 23 March 2009 peace accord; security, social, economic and political issues; and an implementation mechanism for any resolutions. There was however no agreement on whether to discuss the consolidation of “the current lull in military hostilities”. On Saturday, FM Tshibanda told media he was confident about the successful outcome of the crisis in eastern DRC. The day before saw Congolese authorities detain the brother of opposition MP Mbusa Nyamwisi (RCD/KML) in BUTEMBO for alleged involvement with the M23. In Orientale province, there is belated word that elements affiliated to FARDC deserter ‘Col.’ Hillaire were able to seize control of FARDC positions at the gold mine in PANGOY on 16 December. Separately, the Mission informs that the Congolese government is sending a group of experts to MBANDAKA to investigate reports of militia activity in Equateur, where tensions between provincial government and assembly members remain high (Governor Baende remains in his post following a provincial appellate court’s ruling annulling a recent motion of no-confidence). As follow up to earlier mention, Mission sources reported that Mayi-Mayi (Kata-Katanga) cadres were responsible for Friday’s attack near the airport in LUMBUBASHI.   "
24-Dec-12,UNMIL,  The Mission reports that an independent body established by President Johnson Sirleaf this past August to review (natural resource) Private Use Permits (PUPs) policies and procedures presented its report on Friday.   
24-Dec-12,UNMIK,"  The Mission reports that protestors blocked roads in northern MITROVICA earlier today in protest against the 07 December customs agreement with Serbia. In a press conference last Friday, opposition Vetëvendosje officials called on the government of Kosovo to suspend dialogue with Serbia following the recent circulation of a “non-paper” outlining that country’s national platform for Kosovo. That same day saw representatives of K-Serb municipalities in Kosovo meet with the Serbian President in BELGRADE to discuss the platform; reportedly, most expressed their support. UNMIK separately reports that judicial authorities in PRISTINA have approved a EULEX prosecutor request to keep PDK leader Fatmir Limaj in detention for another two months.   "
24-Dec-12,MINUSTAH,"  President Martelly was cited this past Thursday indicating that an agreement on the establishment of an electoral council would likely be reached by 25 December. That same day in GANTHIER (West department), one protestor died and several others were injured when HNP personnel intervened to disperse a rally against a customs check point. According to IOM figures released on Friday, some 360,000 IDPs continue to live in 496 camp sites throughout Haiti.  "
24-Dec-12,Somalia," (UNSOA)  In a statement issued at the closing of bilateral talks held in NAIROBI at the end of last week, the Somali and Kenyan presidents announced that they had agreed to establish a joint border commission, revitalize the Joint Commission for Cooperation (on security, trade, and border issues) mechanism, and pledged to resolve the issue of Somali refugee return. UNPOS colleagues further shared word of continued controversy over the extension of the president’s term in Puntland.  "
24-Dec-12,UNAMA,"  Media reported that a range of stakeholders gathered late last week in the outskirts of PARIS to discuss the future of Afghanistan; Taliban representatives reportedly called for a new constitution as a pre-condition to join the peace process. Meanwhile, in a speech on Saturday in KABUL marking International Anti-Corruption Day, President Karzai reportedly accused foreign donors of enabling widespread corruption in the country.  "
24-Dec-12,UNMOGIP,  Mission sources belatedly report receiving a complaint from Pakistani authorities alleging unprovoked cross-LoC fire by Indian troops on 18 December in Poonch district. Complaints were also received over the weekend alleging unprovoked cross-LoC firing by Indian troops in the same area on Saturday and Sunday.      
21-Dec-12,UNMISS,"  Earlier today, a UN MI-8 helicopter on a reconnaissance mission crashed in the area of LIKUANGOLE (Jonglei state) after receiving fire from SPLA troops; four crew members were reported to be onboard. The Mission has deployed a team to investigate the circumstances of the incident and ascertain the number of casualties. Meanwhile, the security situation in WAU (Western Bahr el-Ghazal state) remains fluid, with hundreds still sheltered within UNMISS premises. State government officials visiting the compound yesterday were blamed for orchestrating the violence, during which 200 houses were set on fire and at least 12 people killed. UNMISS is working to identify a safe area for civilians outside UN premises.   "
21-Dec-12,Sudan,"  The Sudanese Vice-president announced yesterday that Southern Kordofan state is to be divided in two with effect from 01 January, in a move that will re-establish the (predominantly Misseriya) Western Kordofan state dissolved in 2005.   "
21-Dec-12,UNOCI,"  Yesterday saw Ivorian judicial authorities agree to grant bail to eight former President Gbagbo affiliates, including former PM Gilbert Aké, who has been in detention since 2011. That same day, students in DIVO rallied in protest of former president Gbagbo’s detention in THE HAGUE. The Mission belatedly reports that the 15 detainees extradited from Liberia in connection with their suspected involvement in the June attacks in PARA, in western Côte d’Ivoire, appeared before court on Tuesday for the first time. Judicial authorities in Ghana have again postponed the extradition hearing of former presidential spokesperson Koné Katinan until 17 January 2013. Meanwhile, this past Wednesday saw DDR operations resume in ANYAMA after a month of suspension; as of today, a total of 1,470 ex-combatants have been demobilised. UNOCI separately reports that gendarmerie premises in ABIDJAN’s Yopougon neighbourhood were attacked by a group of armed men early this morning. The assailants (who set nine vehicles on fire) were chased away following a firefight that reportedly left one civilian detainee dead. There are also reports of an attack against gendarmerie premises in AGBAOU early today; two FRCI troops were reportedly injured.   "
21-Dec-12,MONUSCO,"  Local media cited opposition UDPS party leader Tshisekedi yesterday criticising the government’s handling of negotiations with the M23, saying that talks should take place in KINSHASA. In North Kivu, this past Wednesday reportedly saw the FARDC secure NYAMILIMA-based Mayi-Mayi (Shetani) support to anti-M23 operations. To the south, MONUSCO is on alert after Mayi-Mayi (RM) elements fired in the air near its base in OTOBORA yesterday. In Orientale province, local authorities announced yesterday that eleven PNC and three FARDC elements are due to face trial in connection with looting in BUNIA on 20-21 November. The Mission separately informs that the deployment of peacekeepers to Ituri district in support of joint MONUSCO-FARDC (“Reassurance”) operations until 07 January 2013 has been completed. Meanwhile, Radio Okapi has just reported that four people were killed when individuals of unknown affiliation opened fire on a mixed PNC/FARDC/Republican Guard patrol late last night near the airport in LUBUMBASHI. There is also belated word that Mayi-Mayi cadres attacked several villages along the western shore of Muwero Lake in Katanga province over the past three days.  "
21-Dec-12,West Africa,"  Yesterday saw the UNSC approve the deployment of an African-led international support mission (AFISMA) to Mali. That same day, Human Rights Watch advocates called on Mali’s newly appointed interim PM to urgently address human rights abuses committed by government security forces and rising ethnic tensions in the country’s north.  "
21-Dec-12,Syria,"  In a report issued yesterday, the Independent Commission of Inquiry on Syria describes a dramatic increase in violence in and around major Syrian cities (in particular DAMASCUS and ALEPPO) and persistent international human rights and humanitarian law violations in a conflict that it claims “has become overtly sectarian in nature”. Media report that fighting in the Yarmouk Palestinian refugee camp outside the capital has now subsided and that hundreds have begun to return. Earlier today, a senior US official was cited saying Syrian government forces launched Scud missiles against a rebel-held area north of ALEPPO, near the Turkish border yesterday; there are no reports of casualties.  "
21-Dec-12,UNMIK,  Kosovar officials have threatened to withdraw from EU-mediated talks following reports that authorities in BELGRADE have been circulating a “non-paper” outlining Serbia’s platform for Kosovo.   
21-Dec-12,MINUSTAH,"  Mission sources report that the travel ban imposed on CEP President Josué Pierre Louis was lifted by the investigating judge handling the case after receiving threats from Pierre Louis’ sibling, Judege Ikenson Edume; human rights organisations have urged the CSPJ to take disciplinary measures against Edume. Separately, Pelé IDP camp representatives have told the Mission that HNP personnel used excessive force in response to a protest earlier this month; reportedly, at least five people were injured and more than 300 tents damaged.   "
21-Dec-12,Somalia, (UNSOA)  Local media report that President Mohamud is in NAIROBI on a two-day visit to inter alia discuss the role of IGAD in stabilizing Somalia with senior Kenyan officials.   
21-Dec-12,UNMOGIP,  Yesterday reportedly saw a complete shutdown in SOPORE in protest of the alleged killing of six militants in a clash with Indian troops this past Tuesday.         
20-Dec-12,UNMISS,"  The Mission reports that the situation in WAU is calm this morning after inter-communal violence yesterday prompted more than 5,000 people to seek refuge within and outside UNMISS premises. During the unrest, several dwellings and businesses were set on fire; according to unconfirmed reports, up to six people were killed and another 50 injured. Local authorities have since put a day-time curfew in place and Sudanese security personnel are now in control of the town; UNMISS is engaging with central and state government officials to defuse tensions, and troop reinforcements are expected to be deployed in the near future. In Jonglei state, a Mission patrol took cover during a firefight between suspected Murle cattle raiders and SPLA/Wildlife service personnel in the area of KONGOR that left six people dead and two others injured earlier today; an INGO vehicle was caught in the crossfire, causing only material damage. In LIKUANGOLE, militia elements targeted the SPLA civilian disarmament camp with two rocket propelled grenades yesterday; SPLA troops retaliated with small arms fire. Elsewhere in the state, clashes between SPLA troops and suspected Dak Kueth-affiliated elements were reported yesterday in GAKDOANG.   "
20-Dec-12,UNAMID,"  Earlier today, one peacekeeper shot and killed three others within team site premises in MUKHJAR, after which he killed himself.  A fifth peacekeeper was injured during the incident and has been admitted to the Level I hospital in MUKHJAR, where he remains in stable condition.   "
20-Dec-12,MONUSCO,"  Two peacekeepers were slightly injured late yesterday when the logistic convoy they were travelling in was fired upon by Mayi-Mayi elements of unknown affiliation along the KAVUMU-OTOBORA road; the peacekeepers returned fire and managed to reach team premises in OTOBORA safely. Meanwhile, the Mission continues to report exactions committed by armed men in IDP camps outside GOMA; UNHCR has called on the provincial governor and the FARDC to address the issue. There is also belated word that the police commissioner in the Mugunga PNC training centre (reported to have close ties with the M23) was shot and killed by unidentified gunmen this past Tuesday near his residence in GOMA. In other news, yesterday saw the Supreme Court confirm provisional gubernatorial election results in Orientale province. The court has yet to make a pronouncement with respect to (31 October) gubernatorial elections in Bas-Congo.  "
20-Dec-12,Syria,"  According to UN agency sources, the Yarmouk Palestinian refugee camp continued to sustain government shelling and air bombardments yesterday, but there were no reports of casualties. There are also reports of armed opposition groups looting abandoned houses and vehicles. Meanwhile, Syrian officials told the UN resident coordinator yesterday that the government will allow the UN to import fuel and relief goods into the country on the condition that these items are imported through government-controlled border crossings, stored within UN warehouses, and distributed through existing mechanisms. That same day saw the UN increase its consolidated humanitarian appeal to USD 1.5 billion. Other media reported that Syria’s interior minister arrived in BEIRUT yesterday for treatment after suffering a serious back injury in last week’s bombing in DAMASCUS.   "
20-Dec-12,UNDOF,"  During the inspection of the AoL in the B-side yesterday, OGG personnel were advised by SAAF personnel to avoid NAWA, TAFAS, TASIL and KANAKIR due to ongoing clashes with anti-government elements.   "
20-Dec-12,Somalia," (UNSOA)  Media reported that the Kenyan government has ordered all Somali refugees in the country to assemble at the DADAAB refugee camp in response to recent attacks against Somali-predominant areas in Kenyan cities. Reportedly, Kenyan officials have also stated that the UN should cease providing humanitarian services to refugees outside camps. Media reports today refer to at least eight people killed in fresh clashes between pro-government militia elements and SNAF troops in KISMAYO.   "
20-Dec-12,UNMIK,  The Mission reports that Kosovar and Serbian officials gathered under EU mediation this past Tuesday maintained different interpretations on integrated border management modalities; further discussions are scheduled to take place on 10 January 2013.   
20-Dec-12,UNMOGIP,  The Mission has received belated complaints from Pakistani authorities alleging cross-LoC fire by Indian troops on 16 and 17 December in Poonch district. UNMOGIP civilian staff members have been advised to refrain from travelling to the Gilgit-Baltistan region following reports of suspected sectarian violence this past Tuesday.  
20-Dec-12,UNIFIL,"  Aggressive behaviour by IDF troops towards UNIFIL was reported yesterday during demining work in proximity to the Blue Line, near MAYS AL JABAL (Sector East).  "
19-Dec-12,UNISFA,"  According to the Office of the Special Envoy for Sudan and South Sudan (OSESSS), yesterday saw Sudanese and South Sudanese JPSM delegates agree to establish the security mechanisms envisaged in the ADDIS ABABA September agreement, with UNISFA support. AU mediator Mbeki described the outcome as “a major step forward”, adding that talks would resume on 13 January. Whereas Sudanese state media similarly reported a breakthrough, GRSS lead negotiator Pagan Amum was cited warning of an impasse that could prolong a shutdown of oil exports.   "
19-Dec-12,UNMISS,"  The Mission reports that the security situation in WAU continues to deteriorate. Earlier today, SSPNS personnel fired warning shots to prevent stick-yielding Dinka youths from indiscriminately assaulting residents in the locality; DSS has since imposed movement restrictions for UN staff. To the east, the Mission has received word that seven SPLA soldiers and nine Prophet Dak Kueth affiliates were killed and several others were injured in recent clashes in DENGJOK; UNMISS evacuated seven of the injured to JUBA yesterday. Meanwhile, there is media interest in a new Enough Project report noting that violence against civilians in Jonglei state accounted for more than half of all of the killings in the country in 2012.   "
